19:39:01.972675 IP 10.0.0.5.49750 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 2022989647, win 29200, options [mss 1460,sackOK,TS val 20875896 ecr 0,nop,wscale 7], length 0
19:41:55.435840 IP 10.0.0.5.33414 > blob.sn4prdstr03a.store.core.windows.net.http: Flags [S], seq 2561769512, win 29200, options [mss 1460,sackOK,TS val 20919262 ecr 0,nop,wscale 7], length 0
19:41:55.778194 IP 10.0.0.5.33415 > blob.sn4prdstr03a.store.core.windows.net.http: Flags [S], seq 4280349894, win 29200, options [mss 1460,sackOK,TS val 20919347 ecr 0,nop,wscale 7], length 0
19:41:56.112148 IP 10.0.0.5.33416 > blob.sn4prdstr03a.store.core.windows.net.http: Flags [S], seq 1941515293, win 29200, options [mss 1460,sackOK,TS val 20919431 ecr 0,nop,wscale 7], length 0
19:41:56.473722 IP 10.0.0.5.33417 > blob.sn4prdstr03a.store.core.windows.net.http: Flags [S], seq 3475926087, win 29200, options [mss 1460,sackOK,TS val 20919521 ecr 0,nop,wscale 7], length 0
19:41:56.933943 IP 10.0.0.5.33418 > blob.sn4prdstr03a.store.core.windows.net.http: Flags [S], seq 3574392852, win 29200, options [mss 1460,sackOK,TS val 20919636 ecr 0,nop,wscale 7], length 0
19:41:57.290654 IP 10.0.0.5.33419 > blob.sn4prdstr03a.store.core.windows.net.http: Flags [S], seq 4074162536, win 29200, options [mss 1460,sackOK,TS val 20919725 ecr 0,nop,wscale 7], length 0
19:41:57.645748 IP 10.0.0.5.33420 > blob.sn4prdstr03a.store.core.windows.net.http: Flags [S], seq 2259882487, win 29200, options [mss 1460,sackOK,TS val 20919814 ecr 0,nop,wscale 7], length 0
19:41:57.982317 IP 10.0.0.5.33421 > blob.sn4prdstr03a.store.core.windows.net.http: Flags [S], seq 821794263, win 29200, options [mss 1460,sackOK,TS val 20919898 ecr 0,nop,wscale 7], length 0
19:41:58.351953 IP 10.0.0.5.33422 > blob.sn4prdstr03a.store.core.windows.net.http: Flags [S], seq 1928515220, win 29200, options [mss 1460,sackOK,TS val 20919991 ecr 0,nop,wscale 7], length 0
19:41:58.689508 IP 10.0.0.5.33423 > blob.sn4prdstr03a.store.core.windows.net.http: Flags [S], seq 2412438059, win 29200, options [mss 1460,sackOK,TS val 20920075 ecr 0,nop,wscale 7], length 0
19:41:59.015370 IP 10.0.0.5.33424 > blob.sn4prdstr03a.store.core.windows.net.http: Flags [S], seq 52382094, win 29200, options [mss 1460,sackOK,TS val 20920157 ecr 0,nop,wscale 7], length 0
19:41:59.468184 IP 10.0.0.5.33425 > blob.sn4prdstr03a.store.core.windows.net.http: Flags [S], seq 3347402914, win 29200, options [mss 1460,sackOK,TS val 20920270 ecr 0,nop,wscale 7], length 0
19:41:59.813780 IP 10.0.0.5.33426 > blob.sn4prdstr03a.store.core.windows.net.http: Flags [S], seq 2594584886, win 29200, options [mss 1460,sackOK,TS val 20920356 ecr 0,nop,wscale 7], length 0
19:42:00.187774 IP 10.0.0.5.33427 > blob.sn4prdstr03a.store.core.windows.net.http: Flags [S], seq 1342194563, win 29200, options [mss 1460,sackOK,TS val 20920450 ecr 0,nop,wscale 7], length 0
19:42:00.519540 IP 10.0.0.5.33428 > blob.sn4prdstr03a.store.core.windows.net.http: Flags [S], seq 1605950318, win 29200, options [mss 1460,sackOK,TS val 20920533 ecr 0,nop,wscale 7], length 0
19:42:00.884515 IP 10.0.0.5.33429 > blob.sn4prdstr03a.store.core.windows.net.http: Flags [S], seq 394460289, win 29200, options [mss 1460,sackOK,TS val 20920624 ecr 0,nop,wscale 7], length 0
19:42:01.245225 IP 10.0.0.5.33430 > blob.sn4prdstr03a.store.core.windows.net.http: Flags [S], seq 12706454, win 29200, options [mss 1460,sackOK,TS val 20920714 ecr 0,nop,wscale 7], length 0
19:42:01.613458 IP 10.0.0.5.33431 > blob.sn4prdstr03a.store.core.windows.net.http: Flags [S], seq 875765917, win 29200, options [mss 1460,sackOK,TS val 20920806 ecr 0,nop,wscale 7], length 0
19:42:01.948800 IP 10.0.0.5.33432 > blob.sn4prdstr03a.store.core.windows.net.http: Flags [S], seq 184782996, win 29200, options [mss 1460,sackOK,TS val 20920890 ecr 0,nop,wscale 7], length 0
19:42:02.287154 IP 10.0.0.5.33433 > blob.sn4prdstr03a.store.core.windows.net.http: Flags [S], seq 955025128, win 29200, options [mss 1460,sackOK,TS val 20920975 ecr 0,nop,wscale 7], length 0
19:42:02.642814 IP 10.0.0.5.33434 > blob.sn4prdstr03a.store.core.windows.net.http: Flags [S], seq 1369841331, win 29200, options [mss 1460,sackOK,TS val 20921063 ecr 0,nop,wscale 7], length 0
19:42:03.023570 IP 10.0.0.5.33435 > blob.sn4prdstr03a.store.core.windows.net.http: Flags [S], seq 1899276756, win 29200, options [mss 1460,sackOK,TS val 20921159 ecr 0,nop,wscale 7], length 0
19:42:03.324777 IP 10.0.0.5.47600 > blob.dm3prdstp05c.store.core.windows.net.https: Flags [S], seq 637211818, win 29200, options [mss 1460,sackOK,TS val 20921234 ecr 0,nop,wscale 7], length 0
19:42:03.337035 IP 10.0.0.5.47601 > blob.dm3prdstp05c.store.core.windows.net.https: Flags [S], seq 345043368, win 29200, options [mss 1460,sackOK,TS val 20921237 ecr 0,nop,wscale 7], length 0
19:42:03.349683 IP 10.0.0.5.47602 > blob.dm3prdstp05c.store.core.windows.net.https: Flags [S], seq 1625572182, win 29200, options [mss 1460,sackOK,TS val 20921240 ecr 0,nop,wscale 7], length 0
19:42:03.367905 IP 10.0.0.5.33440 > blob.sn4prdstr03a.store.core.windows.net.http: Flags [S], seq 2879202452, win 29200, options [mss 1460,sackOK,TS val 20921245 ecr 0,nop,wscale 7], length 0
19:42:03.715597 IP 10.0.0.5.33442 > blob.sn4prdstr03a.store.core.windows.net.http: Flags [S], seq 4144053493, win 29200, options [mss 1460,sackOK,TS val 20921332 ecr 0,nop,wscale 7], length 0
19:42:04.063030 IP 10.0.0.5.33443 > blob.sn4prdstr03a.store.core.windows.net.http: Flags [S], seq 37437120, win 29200, options [mss 1460,sackOK,TS val 20921419 ecr 0,nop,wscale 7], length 0
19:42:04.452025 IP 10.0.0.5.33447 > blob.sn4prdstr03a.store.core.windows.net.http: Flags [S], seq 2738163289, win 29200, options [mss 1460,sackOK,TS val 20921516 ecr 0,nop,wscale 7], length 0
19:42:04.922125 IP 10.0.0.5.33448 > blob.sn4prdstr03a.store.core.windows.net.http: Flags [S], seq 1671669061, win 29200, options [mss 1460,sackOK,TS val 20921633 ecr 0,nop,wscale 7], length 0
19:42:05.265383 IP 10.0.0.5.33449 > blob.sn4prdstr03a.store.core.windows.net.http: Flags [S], seq 2052685569, win 29200, options [mss 1460,sackOK,TS val 20921719 ecr 0,nop,wscale 7], length 0
19:42:05.631892 IP 10.0.0.5.33450 > blob.sn4prdstr03a.store.core.windows.net.http: Flags [S], seq 3356590994, win 29200, options [mss 1460,sackOK,TS val 20921811 ecr 0,nop,wscale 7], length 0
19:42:05.944132 IP 10.0.0.5.33451 > blob.sn4prdstr03a.store.core.windows.net.http: Flags [S], seq 3975542782, win 29200, options [mss 1460,sackOK,TS val 20921889 ecr 0,nop,wscale 7], length 0
19:42:06.289944 IP 10.0.0.5.33452 > blob.sn4prdstr03a.store.core.windows.net.http: Flags [S], seq 2821064364, win 29200, options [mss 1460,sackOK,TS val 20921975 ecr 0,nop,wscale 7], length 0
19:42:06.645326 IP 10.0.0.5.33453 > blob.sn4prdstr03a.store.core.windows.net.http: Flags [S], seq 2593431929, win 29200, options [mss 1460,sackOK,TS val 20922064 ecr 0,nop,wscale 7], length 0
19:42:06.967855 IP 10.0.0.5.33455 > blob.sn4prdstr03a.store.core.windows.net.http: Flags [S], seq 3958158092, win 29200, options [mss 1460,sackOK,TS val 20922145 ecr 0,nop,wscale 7], length 0
19:42:07.329616 IP 10.0.0.5.33456 > blob.sn4prdstr03a.store.core.windows.net.http: Flags [S], seq 2082090562, win 29200, options [mss 1460,sackOK,TS val 20922235 ecr 0,nop,wscale 7], length 0
19:42:07.668990 IP 10.0.0.5.33457 > blob.sn4prdstr03a.store.core.windows.net.http: Flags [S], seq 1205413492, win 29200, options [mss 1460,sackOK,TS val 20922320 ecr 0,nop,wscale 7], length 0
19:42:07.979643 IP 10.0.0.5.33458 > blob.sn4prdstr03a.store.core.windows.net.http: Flags [S], seq 1227074606, win 29200, options [mss 1460,sackOK,TS val 20922398 ecr 0,nop,wscale 7], length 0
19:42:08.297500 IP 10.0.0.5.33459 > blob.sn4prdstr03a.store.core.windows.net.http: Flags [S], seq 1659964879, win 29200, options [mss 1460,sackOK,TS val 20922477 ecr 0,nop,wscale 7], length 0
19:42:08.824541 IP 10.0.0.5.34578 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 1839772520, win 29200, options [mss 1460,sackOK,TS val 20922609 ecr 0,nop,wscale 7], length 0
19:42:09.022650 IP 10.0.0.5.34579 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 1201294961, win 29200, options [mss 1460,sackOK,TS val 20922658 ecr 0,nop,wscale 7], length 0
19:42:09.220586 IP 10.0.0.5.34580 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 3762832060, win 29200, options [mss 1460,sackOK,TS val 20922708 ecr 0,nop,wscale 7], length 0
19:42:09.417177 IP 10.0.0.5.34581 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 3855062805, win 29200, options [mss 1460,sackOK,TS val 20922757 ecr 0,nop,wscale 7], length 0
19:42:09.664166 IP 10.0.0.5.34582 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 3178432288, win 29200, options [mss 1460,sackOK,TS val 20922819 ecr 0,nop,wscale 7], length 0
19:42:09.864095 IP 10.0.0.5.34583 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 4072304116, win 29200, options [mss 1460,sackOK,TS val 20922869 ecr 0,nop,wscale 7], length 0
19:42:10.064794 IP 10.0.0.5.34584 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 587378005, win 29200, options [mss 1460,sackOK,TS val 20922919 ecr 0,nop,wscale 7], length 0
19:42:10.261432 IP 10.0.0.5.34585 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 58219611, win 29200, options [mss 1460,sackOK,TS val 20922968 ecr 0,nop,wscale 7], length 0
19:42:10.462791 IP 10.0.0.5.34586 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 3604462801, win 29200, options [mss 1460,sackOK,TS val 20923018 ecr 0,nop,wscale 7], length 0
19:42:10.649272 IP 10.0.0.5.34587 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 3305497990, win 29200, options [mss 1460,sackOK,TS val 20923065 ecr 0,nop,wscale 7], length 0
19:42:10.851779 IP 10.0.0.5.34588 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 1074756996, win 29200, options [mss 1460,sackOK,TS val 20923116 ecr 0,nop,wscale 7], length 0
19:42:11.039306 IP 10.0.0.5.34589 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 22472576, win 29200, options [mss 1460,sackOK,TS val 20923163 ecr 0,nop,wscale 7], length 0
19:42:11.239763 IP 10.0.0.5.34590 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 1789765673, win 29200, options [mss 1460,sackOK,TS val 20923213 ecr 0,nop,wscale 7], length 0
19:42:11.423197 IP 10.0.0.5.34591 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 693141080, win 29200, options [mss 1460,sackOK,TS val 20923259 ecr 0,nop,wscale 7], length 0
19:42:11.621171 IP 10.0.0.5.34592 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 863025197, win 29200, options [mss 1460,sackOK,TS val 20923308 ecr 0,nop,wscale 7], length 0
19:42:11.821618 IP 10.0.0.5.34593 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 284994748, win 29200, options [mss 1460,sackOK,TS val 20923358 ecr 0,nop,wscale 7], length 0
19:42:12.082266 IP 10.0.0.5.34594 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 2347028069, win 29200, options [mss 1460,sackOK,TS val 20923423 ecr 0,nop,wscale 7], length 0
19:42:12.281815 IP 10.0.0.5.34595 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 4200408865, win 29200, options [mss 1460,sackOK,TS val 20923473 ecr 0,nop,wscale 7], length 0
19:42:12.488450 IP 10.0.0.5.34596 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 1144381095, win 29200, options [mss 1460,sackOK,TS val 20923525 ecr 0,nop,wscale 7], length 0
19:42:12.687579 IP 10.0.0.5.34597 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 269642663, win 29200, options [mss 1460,sackOK,TS val 20923575 ecr 0,nop,wscale 7], length 0
19:42:12.890666 IP 10.0.0.5.34598 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 1038025389, win 29200, options [mss 1460,sackOK,TS val 20923625 ecr 0,nop,wscale 7], length 0
19:42:13.088252 IP 10.0.0.5.34599 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 1946452327, win 29200, options [mss 1460,sackOK,TS val 20923675 ecr 0,nop,wscale 7], length 0
19:42:13.331282 IP 10.0.0.5.34600 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 1752098244, win 29200, options [mss 1460,sackOK,TS val 20923736 ecr 0,nop,wscale 7], length 0
19:42:13.529688 IP 10.0.0.5.34601 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 1413404147, win 29200, options [mss 1460,sackOK,TS val 20923785 ecr 0,nop,wscale 7], length 0
19:42:13.715499 IP 10.0.0.5.34602 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 1541139641, win 29200, options [mss 1460,sackOK,TS val 20923832 ecr 0,nop,wscale 7], length 0
19:42:13.916784 IP 10.0.0.5.34603 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 1263000592, win 29200, options [mss 1460,sackOK,TS val 20923882 ecr 0,nop,wscale 7], length 0
19:42:14.114351 IP 10.0.0.5.34604 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 3942343495, win 29200, options [mss 1460,sackOK,TS val 20923931 ecr 0,nop,wscale 7], length 0
19:42:14.363996 IP 10.0.0.5.34605 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 610713217, win 29200, options [mss 1460,sackOK,TS val 20923994 ecr 0,nop,wscale 7], length 0
19:42:14.560457 IP 10.0.0.5.34606 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 3103961834, win 29200, options [mss 1460,sackOK,TS val 20924043 ecr 0,nop,wscale 7], length 0
19:42:14.759920 IP 10.0.0.5.34607 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 3533693650, win 29200, options [mss 1460,sackOK,TS val 20924093 ecr 0,nop,wscale 7], length 0
19:42:15.004311 IP 10.0.0.5.34608 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 1858703051, win 29200, options [mss 1460,sackOK,TS val 20924154 ecr 0,nop,wscale 7], length 0
19:42:15.203534 IP 10.0.0.5.34609 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 219221998, win 29200, options [mss 1460,sackOK,TS val 20924204 ecr 0,nop,wscale 7], length 0
19:42:15.404272 IP 10.0.0.5.34610 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 209323675, win 29200, options [mss 1460,sackOK,TS val 20924254 ecr 0,nop,wscale 7], length 0
19:42:15.602575 IP 10.0.0.5.34611 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 2376496650, win 29200, options [mss 1460,sackOK,TS val 20924303 ecr 0,nop,wscale 7], length 0
19:42:15.787569 IP 10.0.0.5.34612 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 1240856269, win 29200, options [mss 1460,sackOK,TS val 20924350 ecr 0,nop,wscale 7], length 0
19:42:16.019645 IP 10.0.0.5.34613 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 81171664, win 29200, options [mss 1460,sackOK,TS val 20924408 ecr 0,nop,wscale 7], length 0
19:42:16.220945 IP 10.0.0.5.34614 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 1346382683, win 29200, options [mss 1460,sackOK,TS val 20924458 ecr 0,nop,wscale 7], length 0
19:42:16.407658 IP 10.0.0.5.34615 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 1473487629, win 29200, options [mss 1460,sackOK,TS val 20924505 ecr 0,nop,wscale 7], length 0
19:42:16.592456 IP 10.0.0.5.34616 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 947920426, win 29200, options [mss 1460,sackOK,TS val 20924551 ecr 0,nop,wscale 7], length 0
19:42:16.791013 IP 10.0.0.5.34617 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 1340979590, win 29200, options [mss 1460,sackOK,TS val 20924601 ecr 0,nop,wscale 7], length 0
19:42:17.032757 IP 10.0.0.5.34618 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 2381157855, win 29200, options [mss 1460,sackOK,TS val 20924661 ecr 0,nop,wscale 7], length 0
19:42:17.223495 IP 10.0.0.5.34619 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 2776255948, win 29200, options [mss 1460,sackOK,TS val 20924709 ecr 0,nop,wscale 7], length 0
19:42:17.451451 IP 10.0.0.5.34620 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 3722689707, win 29200, options [mss 1460,sackOK,TS val 20924766 ecr 0,nop,wscale 7], length 0
19:42:17.670745 IP 10.0.0.5.34621 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 4256283463, win 29200, options [mss 1460,sackOK,TS val 20924820 ecr 0,nop,wscale 7], length 0
19:42:17.859797 IP 10.0.0.5.34622 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 1362920482, win 29200, options [mss 1460,sackOK,TS val 20924868 ecr 0,nop,wscale 7], length 0
19:42:18.064699 IP 10.0.0.5.34623 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 186742851, win 29200, options [mss 1460,sackOK,TS val 20924919 ecr 0,nop,wscale 7], length 0
19:42:18.263794 IP 10.0.0.5.34624 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 2533534379, win 29200, options [mss 1460,sackOK,TS val 20924969 ecr 0,nop,wscale 7], length 0
19:42:18.452428 IP 10.0.0.5.34625 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 1073932130, win 29200, options [mss 1460,sackOK,TS val 20925016 ecr 0,nop,wscale 7], length 0
19:42:18.629786 IP 10.0.0.5.34626 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 3958862220, win 29200, options [mss 1460,sackOK,TS val 20925060 ecr 0,nop,wscale 7], length 0
19:42:18.828923 IP 10.0.0.5.34627 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 2424034110, win 29200, options [mss 1460,sackOK,TS val 20925110 ecr 0,nop,wscale 7], length 0
19:42:19.018293 IP 10.0.0.5.34628 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 271027140, win 29200, options [mss 1460,sackOK,TS val 20925157 ecr 0,nop,wscale 7], length 0
19:42:19.208077 IP 10.0.0.5.34629 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 3075126116, win 29200, options [mss 1460,sackOK,TS val 20925205 ecr 0,nop,wscale 7], length 0
19:42:19.382108 IP 10.0.0.5.34630 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 2278226997, win 29200, options [mss 1460,sackOK,TS val 20925248 ecr 0,nop,wscale 7], length 0
19:42:19.568330 IP 10.0.0.5.34631 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 3009536303, win 29200, options [mss 1460,sackOK,TS val 20925295 ecr 0,nop,wscale 7], length 0
19:42:19.768741 IP 10.0.0.5.34632 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 1868975668, win 29200, options [mss 1460,sackOK,TS val 20925345 ecr 0,nop,wscale 7], length 0
19:42:19.957051 IP 10.0.0.5.34633 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 2466862913, win 29200, options [mss 1460,sackOK,TS val 20925392 ecr 0,nop,wscale 7], length 0
19:42:20.145815 IP 10.0.0.5.34634 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 3608643168, win 29200, options [mss 1460,sackOK,TS val 20925439 ecr 0,nop,wscale 7], length 0
19:42:20.350290 IP 10.0.0.5.34635 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 687690021, win 29200, options [mss 1460,sackOK,TS val 20925490 ecr 0,nop,wscale 7], length 0
19:42:20.542407 IP 10.0.0.5.34636 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 1145208034, win 29200, options [mss 1460,sackOK,TS val 20925538 ecr 0,nop,wscale 7], length 0
19:42:20.742519 IP 10.0.0.5.34637 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 4272246276, win 29200, options [mss 1460,sackOK,TS val 20925588 ecr 0,nop,wscale 7], length 0
19:42:20.928879 IP 10.0.0.5.34638 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 979315467, win 29200, options [mss 1460,sackOK,TS val 20925635 ecr 0,nop,wscale 7], length 0
19:42:21.116860 IP 10.0.0.5.34639 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 1802248820, win 29200, options [mss 1460,sackOK,TS val 20925682 ecr 0,nop,wscale 7], length 0
19:42:21.291749 IP 10.0.0.5.34640 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 1809529004, win 29200, options [mss 1460,sackOK,TS val 20925726 ecr 0,nop,wscale 7], length 0
19:42:21.476422 IP 10.0.0.5.34641 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 2976555792, win 29200, options [mss 1460,sackOK,TS val 20925772 ecr 0,nop,wscale 7], length 0
19:42:21.660947 IP 10.0.0.5.34642 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 3484742372, win 29200, options [mss 1460,sackOK,TS val 20925818 ecr 0,nop,wscale 7], length 0
19:42:21.849600 IP 10.0.0.5.34643 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 1897495542, win 29200, options [mss 1460,sackOK,TS val 20925865 ecr 0,nop,wscale 7], length 0
19:42:22.035097 IP 10.0.0.5.34644 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 3007565810, win 29200, options [mss 1460,sackOK,TS val 20925912 ecr 0,nop,wscale 7], length 0
19:42:22.209364 IP 10.0.0.5.34645 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 3835193088, win 29200, options [mss 1460,sackOK,TS val 20925955 ecr 0,nop,wscale 7], length 0
19:42:22.401139 IP 10.0.0.5.34646 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 2539589460, win 29200, options [mss 1460,sackOK,TS val 20926003 ecr 0,nop,wscale 7], length 0
19:42:22.599430 IP 10.0.0.5.34647 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 3216306595, win 29200, options [mss 1460,sackOK,TS val 20926053 ecr 0,nop,wscale 7], length 0
19:42:22.771555 IP 10.0.0.5.34648 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 3638761465, win 29200, options [mss 1460,sackOK,TS val 20926096 ecr 0,nop,wscale 7], length 0
19:42:22.960401 IP 10.0.0.5.34649 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 298295493, win 29200, options [mss 1460,sackOK,TS val 20926143 ecr 0,nop,wscale 7], length 0
19:42:23.151690 IP 10.0.0.5.34650 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 3781965211, win 29200, options [mss 1460,sackOK,TS val 20926191 ecr 0,nop,wscale 7], length 0
19:42:23.350796 IP 10.0.0.5.34651 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 927119201, win 29200, options [mss 1460,sackOK,TS val 20926240 ecr 0,nop,wscale 7], length 0
19:42:23.597050 IP 10.0.0.5.34652 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 2994072413, win 29200, options [mss 1460,sackOK,TS val 20926302 ecr 0,nop,wscale 7], length 0
19:42:23.786375 IP 10.0.0.5.34653 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 3518250084, win 29200, options [mss 1460,sackOK,TS val 20926349 ecr 0,nop,wscale 7], length 0
19:42:24.003680 IP 10.0.0.5.34654 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 2711094970, win 29200, options [mss 1460,sackOK,TS val 20926404 ecr 0,nop,wscale 7], length 0
19:42:24.191341 IP 10.0.0.5.34655 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 1593780952, win 29200, options [mss 1460,sackOK,TS val 20926451 ecr 0,nop,wscale 7], length 0
19:42:24.380264 IP 10.0.0.5.34656 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 971303786, win 29200, options [mss 1460,sackOK,TS val 20926498 ecr 0,nop,wscale 7], length 0
19:42:24.582844 IP 10.0.0.5.34657 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 2300402411, win 29200, options [mss 1460,sackOK,TS val 20926548 ecr 0,nop,wscale 7], length 0
19:42:24.843639 IP 10.0.0.5.34658 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 3876853127, win 29200, options [mss 1460,sackOK,TS val 20926614 ecr 0,nop,wscale 7], length 0
19:42:25.034518 IP 10.0.0.5.34659 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 2374079856, win 29200, options [mss 1460,sackOK,TS val 20926661 ecr 0,nop,wscale 7], length 0
19:42:25.223025 IP 10.0.0.5.34660 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 3183621785, win 29200, options [mss 1460,sackOK,TS val 20926709 ecr 0,nop,wscale 7], length 0
19:42:25.409960 IP 10.0.0.5.34661 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 2404323545, win 29200, options [mss 1460,sackOK,TS val 20926755 ecr 0,nop,wscale 7], length 0
19:42:25.613307 IP 10.0.0.5.34662 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 1179986861, win 29200, options [mss 1460,sackOK,TS val 20926806 ecr 0,nop,wscale 7], length 0
19:42:25.787511 IP 10.0.0.5.34663 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 2426628256, win 29200, options [mss 1460,sackOK,TS val 20926850 ecr 0,nop,wscale 7], length 0
19:42:25.975898 IP 10.0.0.5.34664 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 3562649532, win 29200, options [mss 1460,sackOK,TS val 20926897 ecr 0,nop,wscale 7], length 0
19:42:26.195178 IP 10.0.0.5.34665 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 1200151428, win 29200, options [mss 1460,sackOK,TS val 20926952 ecr 0,nop,wscale 7], length 0
19:42:26.403565 IP 10.0.0.5.34666 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 4003626376, win 29200, options [mss 1460,sackOK,TS val 20927004 ecr 0,nop,wscale 7], length 0
19:42:26.602493 IP 10.0.0.5.34667 > blob.cy4prdstr01a.store.core.windows.net.http: Flags [S], seq 3937783903, win 29200, options [mss 1460,sackOK,TS val 20927053 ecr 0,nop,wscale 7], length 0
